SourceVertex,SubgraphId,PartitionId:700,8589934609,2
superstep,partition,subgraphID,time
5,38,163208757254,1
5,38,163208757253,0
5,38,163208757267,0
5,38,163208757261,1
5,38,163208757260,1
5,38,163208757266,0
5,38,163208757255,0
5,38,163208757248,1
5,38,163208757256,1
5,38,163208757250,0
5,38,163208757263,0
5,38,163208757264,11
5,38,163208757249,5
5,38,163208757258,0
5,38,163208757265,1
5,38,163208757257,0
5,38,163208757251,0
5,38,163208757269,1857
5,38,163208757262,1
5,38,163208757252,1
6,18,77309411333,3
6,18,77309411334,24
6,18,77309411347,1
6,18,77309411341,3
6,18,77309411340,1
6,18,77309411346,1
6,18,77309411335,0
6,18,77309411328,1
6,18,77309411336,1
6,18,77309411330,2
6,18,77309411344,44
6,18,77309411338,1
6,18,77309411329,1
6,18,77309411337,1
6,18,77309411331,1
6,18,77309411342,1
6,18,77309411339,648
6,18,77309411332,1
6,38,163208757268,1
6,38,163208757254,1
6,38,163208757261,0
6,38,163208757260,1
6,38,163208757255,1
6,38,163208757248,0
6,38,163208757256,0
6,38,163208757263,1
6,38,163208757264,7
6,38,163208757249,0
6,38,163208757265,0
6,38,163208757257,1
6,38,163208757251,1
6,38,163208757269,430
6,38,163208757262,1
6,38,163208757259,0
6,38,163208757252,1
7,18,77309411333,1
7,18,77309411347,0
7,18,77309411341,4
7,18,77309411335,0
7,18,77309411328,1
7,18,77309411330,1
7,18,77309411344,50
7,18,77309411338,1
7,18,77309411329,11
7,18,77309411337,1
7,18,77309411331,1
7,18,77309411342,2
7,18,77309411339,404
7,38,163208757268,1
7,38,163208757260,1
7,38,163208757255,1
7,38,163208757263,0
7,38,163208757269,9
7,38,163208757262,0
8,18,77309411333,2
8,18,77309411341,6
8,18,77309411339,27
8,38,163208757260,0
8,38,163208757269,2
9,18,77309411339,2
9,38,163208757260,0
9,38,163208757269,3
10,18,77309411339,1
11,38,163208757269,1
0,5,21474836500,39
0,5,21474836486,1051
0,5,21474836492,1
0,5,21474836485,1
0,5,21474836502,0
0,5,21474836499,1
0,5,21474836493,0
0,5,21474836498,1
0,5,21474836487,0
0,5,21474836480,1
0,5,21474836488,1
0,5,21474836482,5
0,5,21474836495,11
0,5,21474836496,1
0,5,21474836481,12
0,5,21474836490,0
0,5,21474836497,0
0,5,21474836489,2
0,5,21474836503,7
0,5,21474836483,0
0,5,21474836494,1
0,5,21474836501,6
0,5,21474836491,4
0,5,21474836484,0
0,25,107374182420,0
0,25,107374182412,1
0,25,107374182431,0
0,25,107374182440,1
0,25,107374182441,0
0,25,107374182406,0
0,25,107374182434,0
0,25,107374182427,0
0,25,107374182405,0
0,25,107374182428,0
0,25,107374182419,0
0,25,107374182422,0
0,25,107374182413,0
0,25,107374182433,1
0,25,107374182418,0
0,25,107374182407,0
0,25,107374182446,0
0,25,107374182436,0
0,25,107374182442,1
0,25,107374182425,0
0,25,107374182400,0
0,25,107374182426,0
0,25,107374182445,1
0,25,107374182408,0
0,25,107374182402,1
0,25,107374182416,0
0,25,107374182410,1
0,25,107374182417,0
0,25,107374182435,1
0,25,107374182409,0
0,25,107374182438,1
0,25,107374182423,0
0,25,107374182415,1
0,25,107374182401,0
0,25,107374182437,0
0,25,107374182443,0
0,25,107374182430,0
0,25,107374182429,1
0,25,107374182444,0
0,25,107374182414,1198
0,25,107374182421,1
0,25,107374182404,0
0,25,107374182403,1
0,25,107374182424,0
0,25,107374182439,1
0,25,107374182432,0
0,25,107374182411,0
1,5,21474836500,38
1,5,21474836486,337
1,5,21474836492,14
1,5,21474836485,8
1,5,21474836502,0
1,5,21474836499,0
1,5,21474836493,0
1,5,21474836498,23
1,5,21474836487,23
1,5,21474836480,3
1,5,21474836488,1
1,5,21474836482,13
1,5,21474836495,25
1,5,21474836496,9
1,5,21474836481,3
1,5,21474836490,6
1,5,21474836497,12
1,5,21474836489,1
1,5,21474836503,49
1,5,21474836483,9
1,5,21474836494,5
