SourceVertex,SubgraphId,PartitionId:1,20,0
superstep,partition,subgraphID,time
0,1,4294967349,0
0,1,4294967343,1
0,1,4294967304,1
0,1,4294967341,0
0,1,4294967298,0
0,1,4294967360,0
0,1,4294967359,1
0,1,4294967312,1
0,1,4294967347,1
0,1,4294967306,1
0,1,4294967354,1
0,1,4294967348,1
0,1,4294967313,1
0,1,4294967331,0
0,1,4294967334,0
0,1,4294967305,0
0,1,4294967350,1
0,1,4294967319,1
0,1,4294967311,0
0,1,4294967297,1
0,1,4294967333,1
0,1,4294967353,1
0,1,4294967339,1
0,1,4294967325,1
0,1,4294967326,0
0,1,4294967340,1
0,1,4294967362,1
0,1,4294967317,1
0,1,4294967310,1
0,1,4294967356,1
0,1,4294967320,1
0,1,4294967328,0
0,1,4294967335,1
0,1,4294967346,1
0,1,4294967355,0
0,1,4294967300,0
0,1,4294967299,1
0,1,4294967361,1
0,1,4294967307,1
1,1,4294967316,90
1,1,4294967327,26
1,1,4294967351,27
1,1,4294967308,26
1,1,4294967336,20
1,1,4294967337,45
1,1,4294967358,379
1,1,4294967302,23
1,1,4294967330,26
1,1,4294967323,26
1,1,4294967344,18
1,1,4294967301,25
1,1,4294967324,29
1,1,4294967315,27
1,1,4294967318,19
1,1,4294967309,29
1,1,4294967363,27
1,1,4294967329,28
1,1,4294967345,23
1,1,4294967364,26
1,1,4294967303,21
1,1,4294967342,19
1,1,4294967338,26
1,1,4294967321,26
1,1,4294967322,25
1,1,4294967296,26
1,1,4294967352,20
1,1,4294967314,46
1,1,4294967357,23
1,1,4294967332,25
1,1,4294967349,26
1,1,4294967343,26
1,1,4294967304,26
1,1,4294967341,25
1,1,4294967298,19
1,1,4294967360,26
1,1,4294967359,28
1,1,4294967312,27
1,1,4294967347,30
1,1,4294967306,20
1,1,4294967354,27
1,1,4294967348,29
1,1,4294967313,28
1,1,4294967331,28
1,1,4294967334,27
1,1,4294967305,28
1,1,4294967350,26
1,1,4294967319,26
1,1,4294967311,41
1,1,4294967297,31
1,1,4294967333,26
1,1,4294967353,130
1,1,4294967339,26
1,1,4294967325,23
1,1,4294967326,47
1,1,4294967340,27
1,1,4294967362,26
1,1,4294967317,25
1,1,4294967310,25
1,1,4294967356,26
1,1,4294967320,26
1,1,4294967328,20
1,1,4294967335,19
1,1,4294967346,20
1,1,4294967355,25
1,1,4294967300,43
1,1,4294967299,18
1,1,4294967361,25
1,1,4294967307,26
2,1,4294967316,2
2,1,4294967327,0
2,1,4294967351,0
2,1,4294967308,0
2,1,4294967336,0
2,1,4294967337,0
2,1,4294967358,113
2,1,4294967302,0
2,1,4294967330,0
2,1,4294967323,0
2,1,4294967344,0
2,1,4294967301,0
2,1,4294967324,1
2,1,4294967315,0
2,1,4294967318,0
2,1,4294967309,0
2,1,4294967363,0
2,1,4294967329,0
2,1,4294967345,0
2,1,4294967364,0
2,1,4294967303,0
2,1,4294967342,0
2,1,4294967338,0
2,1,4294967321,1
2,1,4294967322,0
2,1,4294967296,0
2,1,4294967352,0
2,1,4294967314,0
2,1,4294967357,0
2,1,4294967332,0
2,1,4294967349,0
2,1,4294967343,0
2,1,4294967304,0
2,1,4294967341,0
2,1,4294967298,1
2,1,4294967360,0
2,1,4294967359,0
2,1,4294967312,0
2,1,4294967347,0
2,1,4294967306,0
2,1,4294967354,0
2,1,4294967348,0
2,1,4294967313,0
2,1,4294967331,0
2,1,4294967334,0
2,1,4294967305,0
2,1,4294967350,0
2,1,4294967319,0
2,1,4294967311,0
2,1,4294967297,0
2,1,4294967333,1
2,1,4294967353,0
2,1,4294967339,0
2,1,4294967325,0
2,1,4294967326,0
